2018-10-06 12:32:41,139 |[INFO] test: static	dynamic	diff
2018-10-06 12:32:41,139 |[INFO] test: 116	116	0
2018-10-06 12:32:41,139 |[INFO] test: 5942	3632	-2310
2018-10-06 12:32:41,139 |[INFO] test: 5508	2128	-3380
2018-10-06 12:32:41,139 |[INFO] test: 1867	1867	0
2018-10-06 12:32:41,139 |[INFO] test: 1221	1221	0
2018-10-06 12:32:41,139 |[INFO] test: 4113	3225	-888
2018-10-06 12:32:41,139 |[INFO] test: 7121	3345	-3776
2018-10-06 12:32:41,139 |[INFO] test: 3245	2233	-1012
2018-10-06 12:32:41,139 |[INFO] test: 10504	3690	-6814
2018-10-06 12:32:41,139 |[INFO] test: 915	915	0
2018-10-06 12:32:41,139 |[INFO] test: 6825	3313	-3512
2018-10-06 12:32:41,139 |[INFO] test: 8786	3662	-5124
2018-10-06 12:32:41,139 |[INFO] test: 2619	2619	0
2018-10-06 12:32:41,139 |[INFO] test: 8016	2566	-5450
2018-10-06 12:32:41,139 |[INFO] test: 8701	3531	-5170
2018-10-06 12:32:41,139 |[INFO] test: 10054	3664	-6390
2018-10-06 12:32:41,140 |[INFO] test: 2245	2245	0
2018-10-06 12:32:41,140 |[INFO] test: 9311	3357	-5954
2018-10-06 12:32:41,140 |[INFO] test: 3886	3680	-206
2018-10-06 12:32:41,140 |[INFO] test: 10098	3210	-6888
2018-10-06 12:32:41,140 |[INFO] test: 1776	1776	0
2018-10-06 12:32:41,140 |[INFO] test: 5297	3627	-1670
2018-10-06 12:32:41,140 |[INFO] test: 7633	3393	-4240
2018-10-06 12:32:41,140 |[INFO] test: 6791	3257	-3534
2018-10-06 12:32:41,140 |[INFO] test: 6878	3688	-3190
2018-10-06 12:32:41,140 |[INFO] test: 9542	3450	-6092
2018-10-06 12:32:41,140 |[INFO] test: 3379	3251	-128
2018-10-06 12:32:41,140 |[INFO] test: 1615	1615	0
2018-10-06 12:32:41,140 |[INFO] test: 7097	3475	-3622
2018-10-06 12:32:41,140 |[INFO] test: 8975	2471	-6504
2018-10-06 12:32:41,140 |[INFO] test: 8113	3551	-4562
2018-10-06 12:32:41,140 |[INFO] test: 3797	3313	-484
2018-10-06 12:32:41,141 |[INFO] test: 3855	3543	-312
2018-10-06 12:32:41,141 |[INFO] test: 5014	3636	-1378
2018-10-06 12:32:41,141 |[INFO] test: 7728	3398	-4330
2018-10-06 12:32:41,141 |[INFO] test: 1089	1089	0
2018-10-06 12:32:41,141 |[INFO] test: 7416	3382	-4034
2018-10-06 12:32:41,141 |[INFO] test: 9060	3518	-5542
2018-10-06 12:32:41,141 |[INFO] test: 5459	3417	-2042
2018-10-06 12:32:41,141 |[INFO] test: 4356	3490	-866
2018-10-06 12:32:41,141 |[INFO] test: 9929	2595	-7334
2018-10-06 12:32:41,141 |[INFO] test: 2114	2114	0
2018-10-06 12:32:41,141 |[INFO] test: 9804	3312	-6492
2018-10-06 12:32:41,141 |[INFO] test: 6919	3271	-3648
2018-10-06 12:32:41,141 |[INFO] test: 7435	3295	-4140
2018-10-06 12:32:41,141 |[INFO] test: 10397	3569	-6828
2018-10-06 12:32:41,141 |[INFO] test: 5094	3448	-1646
2018-10-06 12:32:41,141 |[INFO] test: 8057	2697	-5360
2018-10-06 12:32:41,141 |[INFO] test: 7169	3643	-3526
2018-10-06 12:32:41,142 |[INFO] test: 3316	3316	0
2018-10-06 12:32:41,142 |[INFO] test: 763	763	0
2018-10-06 12:32:41,142 |[INFO] test: 5066	3448	-1618
2018-10-06 12:32:41,142 |[INFO] test: 10332	3692	-6640
2018-10-06 12:32:41,142 |[INFO] test: 2118	2118	0
2018-10-06 12:32:41,142 |[INFO] test: 6801	3543	-3258
2018-10-06 12:32:41,142 |[INFO] test: 637	637	0
2018-10-06 12:32:41,142 |[INFO] test: 2572	2572	0
2018-10-06 12:32:41,142 |[INFO] test: 7896	2802	-5094
2018-10-06 12:32:41,142 |[INFO] test: 2956	2410	-546
2018-10-06 12:32:41,142 |[INFO] test: 7739	3261	-4478
2018-10-06 12:32:41,142 |[INFO] test: 10413	2561	-7852
2018-10-06 12:32:41,142 |[INFO] test: 3055	2089	-966
2018-10-06 12:32:41,142 |[INFO] test: 909	909	0
2018-10-06 12:32:41,142 |[INFO] test: 6535	3697	-2838
2018-10-06 12:32:41,142 |[INFO] test: 3672	1912	-1760
2018-10-06 12:32:41,142 |[INFO] test: 6990	3430	-3560
2018-10-06 12:32:41,142 |[INFO] test: 4157	3233	-924
2018-10-06 12:32:41,143 |[INFO] test: 1403	1403	0
2018-10-06 12:32:41,143 |[INFO] test: 3632	3416	-216
2018-10-06 12:32:41,143 |[INFO] test: 3901	2303	-1598
2018-10-06 12:32:41,143 |[INFO] test: 8093	3223	-4870
2018-10-06 12:32:41,143 |[INFO] test: 9920	3486	-6434
2018-10-06 12:32:41,143 |[INFO] test: 9426	3434	-5992
2018-10-06 12:32:41,143 |[INFO] test: 8733	3369	-5364
