static	dynamic	diff
27	27	0
31	31	0
130	130	0
126	126	0
45	45	0
274	148	-126
51	51	0
276	132	-144
52	52	0
77	77	0
194	85	-109
94	94	0
230	139	-91
295	105	-190
37	37	0
45	45	0
115	72	-43
117	117	0
308	188	-120
393	189	-204
466	186	-280
220	97	-123
53	53	0
275	142	-133
70	70	0
284	161	-123
83	83	0
85	85	0
90	90	0
84	84	0
91	91	0
86	86	0
249	151	-98
92	92	0
527	206	-321
528	241	-287
248	150	-98
134	134	0
412	153	-259
161	161	0
122	122	0
421	207	-214
350	211	-139
481	261	-220
460	213	-247
136	136	0
136	136	0
429	262	-167
435	222	-213
63	63	0
68	68	0
511	197	-314
66	66	0
455	255	-200
169	96	-73
65	65	0
176	132	-44
161	117	-44
65	65	0
72	72	0
146	146	0
143	143	0
268	240	-28
135	135	0
155	155	0
230	191	-39
145	145	0
329	237	-92
153	153	0
134	134	0
380	244	-136
396	217	-179
222	138	-84
217	135	-82
224	203	-21
176	176	0
174	174	0
231	229	-2
91	91	0
178	178	0
192	171	-21
194	194	0
191	116	-75
200	120	-80
209	145	-64
352	264	-88
360	272	-88
350	258	-92
205	205	0
397	198	-199
120	120	0
53	53	0
183	65	-118
371	127	-244
46	46	0
161	161	0
156	156	0
157	157	0
197	197	0
336	263	-73
